Price at Date,Price in EUR
2023/06/08,90
2023/06/09,90
2023/06/10,90
2023/06/11,90
2023/06/12,90
2023/06/13,91
2023/06/14,90
2023/06/15,90
2023/06/16,91
2023/06/17,90
2023/06/18,90
2023/06/19,90
2023/06/20,91
2023/06/21,106
2023/06/22,106
2023/06/23,90
2023/06/24,90
2023/06/25,106
2023/06/26,106
2023/06/27,106
2023/06/28,106
2023/06/29,106
2023/06/30,106
2023/07/01,106
2023/07/02,106
2023/07/03,106
2023/07/04,106
2023/07/05,104
2023/07/06,107
2023/07/07,107
2023/07/08,107
2023/07/09,107
2023/07/10,107
2023/07/11,107
2023/07/12,107
2023/07/13,107
2023/07/14,107
2023/07/15,107
2023/07/16,120
2023/07/17,120
2023/07/18,119
2023/07/19,116
2023/07/20,115
2023/07/21,84
2023/07/22,89
2023/07/23,110
2023/07/24,126
2023/07/25,126
2023/07/26,126
2023/07/27,126
2023/07/28,126
2023/07/29,126
2023/07/30,103
2023/07/31,115
2023/08/01,137
2023/08/02,147
2023/08/03,139
2023/08/04,126
2023/08/05,127
2023/08/06,126
2023/08/07,126
