Price at Date,Price in EUR
2023/06/08,157
2023/06/09,169
2023/06/10,169
2023/06/11,180
2023/06/12,180
2023/06/13,121
2023/06/14,130
2023/06/15,197
2023/06/16,187
2023/06/17,186
2023/06/18,186
2023/06/19,185
2023/06/20,187
2023/06/21,197
2023/06/22,207
2023/06/23,203
2023/06/24,203
2023/06/25,191
2023/06/26,191
2023/06/27,225
2023/06/28,226
2023/06/29,217
2023/06/30,190
2023/07/01,190
2023/07/02,189
2023/07/03,188
2023/07/04,188
2023/07/05,177
2023/07/06,167
2023/07/07,168
2023/07/08,171
2023/07/09,171
2023/07/10,183
2023/07/11,192
2023/07/12,192
2023/07/13,188
2023/07/14,192
2023/07/15,197
2023/07/16,214
2023/07/17,178
2023/07/18,152
2023/07/19,162
2023/07/20,173
2023/07/21,113
2023/07/22,119
2023/07/23,140
2023/07/24,157
2023/07/25,168
2023/07/26,179
2023/07/27,154
2023/07/28,163
2023/07/29,164
2023/07/30,201
2023/07/31,159
2023/08/01,159
2023/08/02,181
2023/08/03,203
2023/08/04,146
2023/08/05,147
2023/08/06,193
2023/08/07,167
