Price at Date,Price in EUR
2023/06/08,110
2023/06/09,120
2023/06/10,120
2023/06/11,130
2023/06/12,130
2023/06/13,130
2023/06/14,161
2023/06/15,161
2023/06/16,144
2023/06/17,144
2023/06/18,144
2023/06/19,144
2023/06/20,144
2023/06/21,144
2023/06/22,144
2023/06/23,144
2023/06/24,136
2023/06/25,133
2023/06/26,133
2023/06/27,138
2023/06/28,128
2023/06/29,128
2023/06/30,127
2023/07/01,127
2023/07/02,127
2023/07/03,127
2023/07/04,134
2023/07/05,135
2023/07/06,137
2023/07/07,143
2023/07/08,128
2023/07/09,134
2023/07/10,134
2023/07/11,141
2023/07/12,175
2023/07/13,168
2023/07/14,169
2023/07/15,145
2023/07/16,161
2023/07/17,146
2023/07/18,161
2023/07/19,162
2023/07/20,162
2023/07/21,160
2023/07/22,162
2023/07/23,132
2023/07/24,146
2023/07/25,162
2023/07/26,177
2023/07/27,177
2023/07/28,131
2023/07/29,192
2023/07/30,192
2023/07/31,160
2023/08/01,211
2023/08/02,212
2023/08/03,191
2023/08/04,132
2023/08/05,145
2023/08/06,145
2023/08/07,161
