Price at Date,Price in EUR
2023/06/08,100
2023/06/09,100
2023/06/10,100
2023/06/11,101
2023/06/12,100
2023/06/13,101
2023/06/14,101
2023/06/15,101
2023/06/16,101
2023/06/17,101
2023/06/18,100
2023/06/19,100
2023/06/20,100
2023/06/21,99
2023/06/22,100
2023/06/23,93
2023/06/24,101
2023/06/25,101
2023/06/26,100
2023/06/27,94
2023/06/28,98
2023/06/29,101
2023/06/30,97
2023/07/01,97
2023/07/02,98
2023/07/03,98
2023/07/04,101
2023/07/05,101
2023/07/06,101
2023/07/07,100
2023/07/08,99
2023/07/09,99
2023/07/10,98
2023/07/11,99
2023/07/12,100
2023/07/13,100
2023/07/14,102
2023/07/15,101
2023/07/16,145
2023/07/17,118
2023/07/18,86
2023/07/19,68
2023/07/20,68
2023/07/21,67
2023/07/22,68
2023/07/23,106
2023/07/24,85
2023/07/25,96
2023/07/26,95
2023/07/27,90
2023/07/28,99
2023/07/29,85
2023/07/30,85
2023/07/31,85
2023/08/01,85
2023/08/02,85
2023/08/03,85
2023/08/04,84
2023/08/05,84
2023/08/06,84
2023/08/07,115
