Price at Date,Price in EUR
2023/06/08,136
2023/06/09,136
2023/06/10,141
2023/06/11,142
2023/06/12,141
2023/06/13,142
2023/06/14,141
2023/06/15,141
2023/06/16,140
2023/06/17,120
2023/06/18,119
2023/06/19,119
2023/06/20,114
2023/06/21,119
2023/06/22,120
2023/06/23,121
2023/06/24,121
2023/06/25,121
2023/06/26,120
2023/06/27,121
2023/06/28,119
2023/06/29,119
2023/06/30,107
2023/07/01,113
2023/07/02,112
2023/07/03,112
2023/07/04,113
2023/07/05,118
2023/07/06,135
2023/07/07,155
2023/07/08,153
2023/07/09,158
2023/07/10,134
2023/07/11,135
2023/07/12,145
2023/07/13,142
2023/07/14,151
2023/07/15,150
2023/07/16,149
2023/07/17,130
2023/07/18,127
2023/07/19,110
2023/07/20,109
2023/07/21,112
2023/07/22,114
2023/07/23,114
2023/07/24,109
2023/07/25,109
2023/07/26,109
2023/07/27,104
2023/07/28,109
2023/07/29,118
2023/07/30,118
2023/07/31,116
2023/08/01,127
2023/08/02,127
2023/08/03,136
2023/08/04,143
2023/08/05,150
2023/08/06,165
2023/08/07,143
