Price at Date,Price in EUR
2023/06/08,58
2023/06/09,50
2023/06/10,49
2023/06/11,45
2023/06/12,39
2023/06/13,38
2023/06/14,37
2023/06/15,35
2023/06/16,34
2023/06/17,34
2023/06/18,34
2023/06/19,34
2023/06/20,34
2023/06/21,29
2023/06/22,29
2023/06/23,29
2023/06/24,29
2023/06/25,29
2023/06/26,29
2023/06/27,29
2023/06/28,29
2023/06/29,29
2023/06/30,29
2023/07/01,29
2023/07/02,29
2023/07/03,29
2023/07/04,29
2023/07/05,29
2023/07/06,32
2023/07/07,32
2023/07/08,34
2023/07/09,34
2023/07/10,39
2023/07/11,44
2023/07/12,44
2023/07/13,44
2023/07/14,44
2023/07/15,48
2023/07/16,49
2023/07/17,51
2023/07/18,52
2023/07/19,45
2023/07/20,44
2023/07/21,44
2023/07/22,43
2023/07/23,49
2023/07/24,44
2023/07/25,40
2023/07/26,40
2023/07/27,40
2023/07/28,45
2023/07/29,40
2023/07/30,40
2023/07/31,37
2023/08/01,33
2023/08/02,30
2023/08/03,29
2023/08/04,30
2023/08/05,30
2023/08/06,30
2023/08/07,35
