Price at Date,Price in EUR
2023/06/08,188
2023/06/09,167
2023/06/10,163
2023/06/11,163
2023/06/12,167
2023/06/13,146
2023/06/14,135
2023/06/15,128
2023/06/16,128
2023/06/17,150
2023/06/18,150
2023/06/19,150
2023/06/20,126
2023/06/21,161
2023/06/22,161
2023/06/23,165
2023/06/24,126
2023/06/25,165
2023/06/26,126
2023/06/27,127
2023/06/28,123
2023/06/29,123
2023/06/30,121
2023/07/01,121
2023/07/02,143
2023/07/03,145
2023/07/04,145
2023/07/05,147
2023/07/06,194
2023/07/07,194
2023/07/08,194
2023/07/09,194
2023/07/10,188
2023/07/11,148
2023/07/12,128
2023/07/13,171
2023/07/14,148
2023/07/15,127
2023/07/16,127
2023/07/17,173
2023/07/18,123
2023/07/19,117
2023/07/20,117
2023/07/21,117
2023/07/22,194
2023/07/23,132
2023/07/24,132
2023/07/25,169
2023/07/26,169
2023/07/27,132
2023/07/28,171
2023/07/29,191
2023/07/30,196
2023/07/31,166
2023/08/01,172
2023/08/02,194
2023/08/03,209
2023/08/04,214
2023/08/05,214
2023/08/06,198
2023/08/07,198
