Price at Date,Price in EUR
2023/06/08,22
2023/06/09,22
2023/06/10,19
2023/06/11,19
2023/06/12,19
2023/06/13,20
2023/06/14,19
2023/06/15,19
2023/06/16,19
2023/06/17,19
2023/06/18,19
2023/06/19,14
2023/06/20,14
2023/06/21,19
2023/06/22,19
2023/06/23,19
2023/06/24,22
2023/06/25,29
2023/06/26,29
2023/06/27,42
2023/06/28,36
2023/06/29,39
2023/06/30,39
2023/07/01,39
2023/07/02,39
2023/07/03,39
2023/07/04,28
2023/07/05,27
2023/07/06,27
2023/07/07,32
2023/07/08,34
2023/07/09,34
2023/07/10,34
2023/07/11,34
2023/07/12,44
2023/07/13,47
2023/07/14,54
2023/07/15,54
2023/07/16,47
2023/07/17,41
2023/07/18,47
2023/07/19,50
2023/07/20,40
2023/07/21,45
2023/07/22,55
2023/07/23,50
2023/07/24,50
2023/07/25,50
2023/07/26,45
2023/07/27,50
2023/07/28,47
2023/07/29,60
2023/07/30,59
2023/07/31,60
2023/08/01,60
2023/08/02,55
2023/08/03,48
2023/08/04,39
2023/08/05,39
2023/08/06,39
2023/08/07,39
