Price at Date,Price in EUR
2023/06/08,20
2023/06/09,19
2023/06/10,19
2023/06/11,20
2023/06/12,18
2023/06/13,18
2023/06/14,18
2023/06/15,22
2023/06/16,22
2023/06/17,30
2023/06/18,31
2023/06/19,30
2023/06/20,30
2023/06/21,30
2023/06/22,29
2023/06/23,29
2023/06/24,29
2023/06/25,29
2023/06/26,25
2023/06/27,15
2023/06/28,15
2023/06/29,16
2023/06/30,16
2023/07/01,15
2023/07/02,15
2023/07/03,16
2023/07/04,16
2023/07/05,15
2023/07/06,16
2023/07/07,35
2023/07/08,50
2023/07/09,43
2023/07/10,35
2023/07/11,30
2023/07/12,25
2023/07/13,17
2023/07/14,17
2023/07/15,20
2023/07/16,22
2023/07/17,19
2023/07/18,18
2023/07/19,31
2023/07/20,29
2023/07/21,21
2023/07/22,21
2023/07/23,18
2023/07/24,15
2023/07/25,15
2023/07/26,15
2023/07/27,16
2023/07/28,18
2023/07/29,19
2023/07/30,24
2023/07/31,24
2023/08/01,19
2023/08/02,19
2023/08/03,22
2023/08/04,21
2023/08/05,21
2023/08/06,28
2023/08/07,34
