Price at Date,Price in EUR
2023/06/08,167
2023/06/09,189
2023/06/10,225
2023/06/11,184
2023/06/12,184
2023/06/13,144
2023/06/14,144
2023/06/15,144
2023/06/16,193
2023/06/17,182
2023/06/18,199
2023/06/19,178
2023/06/20,177
2023/06/21,155
2023/06/22,131
2023/06/23,128
2023/06/24,149
2023/06/25,155
2023/06/26,202
2023/06/27,184
2023/06/28,175
2023/06/29,175
2023/06/30,123
2023/07/01,102
2023/07/02,102
2023/07/03,107
2023/07/04,119
2023/07/05,176
2023/07/06,176
2023/07/07,192
2023/07/08,187
2023/07/09,187
2023/07/10,164
2023/07/11,186
2023/07/12,182
2023/07/13,220
2023/07/14,203
2023/07/15,202
2023/07/16,203
2023/07/17,128
2023/07/18,140
2023/07/19,140
2023/07/20,161
2023/07/21,161
2023/07/22,172
2023/07/23,172
2023/07/24,172
2023/07/25,172
2023/07/26,172
2023/07/27,172
2023/07/28,172
2023/07/29,182
2023/07/30,183
2023/07/31,156
2023/08/01,161
2023/08/02,192
2023/08/03,204
2023/08/04,220
2023/08/05,231
2023/08/06,210
2023/08/07,231
