Price at Date,Price in EUR
2023/06/08,38
2023/06/09,38
2023/06/10,38
2023/06/11,38
2023/06/12,38
2023/06/13,38
2023/06/14,38
2023/06/15,38
2023/06/16,38
2023/06/17,38
2023/06/18,38
2023/06/19,38
2023/06/20,38
2023/06/21,38
2023/06/22,38
2023/06/23,38
2023/06/24,38
2023/06/25,38
2023/06/26,38
2023/06/27,38
2023/06/28,38
2023/06/29,38
2023/06/30,38
2023/07/01,38
2023/07/02,38
2023/07/03,38
2023/07/04,38
2023/07/05,38
2023/07/06,38
2023/07/07,38
2023/07/08,38
2023/07/09,38
2023/07/10,38
2023/07/11,38
2023/07/12,38
2023/07/13,38
2023/07/14,38
2023/07/15,38
2023/07/16,38
2023/07/17,45
2023/07/18,45
2023/07/19,47
2023/07/20,47
2023/07/21,47
2023/07/22,47
2023/07/23,47
2023/07/24,47
2023/07/25,47
2023/07/26,47
2023/07/27,60
2023/07/28,60
2023/07/29,60
2023/07/30,60
2023/07/31,57
2023/08/01,60
2023/08/02,60
2023/08/03,68
2023/08/04,68
2023/08/05,68
2023/08/06,75
2023/08/07,85
