Price at Date,Price in EUR
2023/06/08,128
2023/06/09,128
2023/06/10,128
2023/06/11,128
2023/06/12,128
2023/06/13,128
2023/06/14,128
2023/06/15,128
2023/06/16,128
2023/06/17,128
2023/06/18,128
2023/06/19,128
2023/06/20,128
2023/06/21,128
2023/06/22,128
2023/06/23,128
2023/06/24,130
2023/06/25,130
2023/06/26,130
2023/06/27,129
2023/06/28,128
2023/06/29,128
2023/06/30,144
2023/07/01,145
2023/07/02,145
2023/07/03,144
2023/07/04,144
2023/07/05,144
2023/07/06,144
2023/07/07,142
2023/07/08,142
2023/07/09,142
2023/07/10,142
2023/07/11,142
2023/07/12,142
2023/07/13,142
2023/07/14,157
2023/07/15,157
2023/07/16,158
2023/07/17,102
2023/07/18,102
2023/07/19,118
2023/07/20,120
2023/07/21,125
2023/07/22,141
2023/07/23,145
2023/07/24,132
2023/07/25,119
2023/07/26,119
2023/07/27,119
2023/07/28,119
2023/07/29,119
2023/07/30,119
2023/07/31,117
2023/08/01,119
2023/08/02,120
2023/08/03,120
2023/08/04,131
2023/08/05,131
2023/08/06,126
2023/08/07,132
