Price at Date,Price in EUR
2023/06/08,103
2023/06/09,107
2023/06/10,107
2023/06/11,112
2023/06/12,112
2023/06/13,112
2023/06/14,112
2023/06/15,138
2023/06/16,138
2023/06/17,138
2023/06/18,124
2023/06/19,124
2023/06/20,138
2023/06/21,124
2023/06/22,117
2023/06/23,117
2023/06/24,117
2023/06/25,117
2023/06/26,117
2023/06/27,138
2023/06/28,124
2023/06/29,124
2023/06/30,138
2023/07/01,141
2023/07/02,138
2023/07/03,132
2023/07/04,138
2023/07/05,131
2023/07/06,138
2023/07/07,138
2023/07/08,138
2023/07/09,138
2023/07/10,138
2023/07/11,138
2023/07/12,138
2023/07/13,154
2023/07/14,138
2023/07/15,138
2023/07/16,138
2023/07/17,152
2023/07/18,152
2023/07/19,153
2023/07/20,138
2023/07/21,138
2023/07/22,138
2023/07/23,138
2023/07/24,154
2023/07/25,154
2023/07/26,154
2023/07/27,138
2023/07/28,154
2023/07/29,154
2023/07/30,154
2023/07/31,154
2023/08/01,158
2023/08/02,158
2023/08/03,162
2023/08/04,171
2023/08/05,190
2023/08/06,190
2023/08/07,192
