Price at Date,Price in EUR
2023/06/08,99
2023/06/09,99
2023/06/10,99
2023/06/11,99
2023/06/12,99
2023/06/13,45
2023/06/14,94
2023/06/15,95
2023/06/16,93
2023/06/17,94
2023/06/18,94
2023/06/19,95
2023/06/20,99
2023/06/21,99
2023/06/22,99
2023/06/23,99
2023/06/24,99
2023/06/25,99
2023/06/26,99
2023/06/27,95
2023/06/28,99
2023/06/29,99
2023/06/30,102
2023/07/01,107
2023/07/02,105
2023/07/03,95
2023/07/04,95
2023/07/05,95
2023/07/06,106
2023/07/07,104
2023/07/08,104
2023/07/09,104
2023/07/10,115
2023/07/11,115
2023/07/12,115
2023/07/13,115
2023/07/14,115
2023/07/15,116
2023/07/16,116
2023/07/17,116
2023/07/18,116
2023/07/19,116
2023/07/20,116
2023/07/21,116
2023/07/22,116
2023/07/23,116
2023/07/24,116
2023/07/25,129
2023/07/26,124
2023/07/27,127
2023/07/28,127
2023/07/29,128
2023/07/30,128
2023/07/31,132
2023/08/01,132
2023/08/02,132
2023/08/03,132
2023/08/04,132
2023/08/05,132
2023/08/06,141
2023/08/07,145
2023/08/08,158
2023/08/09,164
2023/08/10,183
2023/08/11,184
