Price at Date,Price in EUR
2023/06/08,401
2023/06/09,401
2023/06/10,401
2023/06/11,401
2023/06/12,307
2023/06/13,307
2023/06/14,307
2023/06/15,263
2023/06/16,369
2023/06/17,369
2023/06/18,369
2023/06/19,316
2023/06/20,395
2023/06/21,395
2023/06/22,548
2023/06/23,487
2023/06/24,487
2023/06/25,548
2023/06/26,548
2023/06/27,548
2023/06/28,548
2023/06/29,487
2023/06/30,487
2023/07/01,487
2023/07/02,487
2023/07/03,548
2023/07/04,548
2023/07/05,548
2023/07/06,487
2023/07/07,548
2023/07/08,548
2023/07/09,548
2023/07/10,548
2023/07/11,412
2023/07/12,412
2023/07/13,412
2023/07/14,412
2023/07/15,412
2023/07/16,529
2023/07/17,529
2023/07/18,529
2023/07/19,529
2023/07/20,529
2023/07/21,511
2023/07/22,511
2023/07/23,511
2023/07/24,511
2023/07/25,511
2023/07/26,529
2023/07/27,529
2023/07/28,529
2023/07/29,529
2023/07/30,529
2023/07/31,511
2023/08/01,511
2023/08/02,529
2023/08/03,529
2023/08/04,529
2023/08/05,511
2023/08/06,511
2023/08/07,511
2023/08/08,511
2023/08/09,529
2023/08/10,529
2023/08/11,602
