Price at Date,Price in EUR
2023/06/08,80
2023/06/09,80
2023/06/10,80
2023/06/11,80
2023/06/12,80
2023/06/13,80
2023/06/14,85
2023/06/15,85
2023/06/16,85
2023/06/17,83
2023/06/18,83
2023/06/19,83
2023/06/20,83
2023/06/21,83
2023/06/22,83
2023/06/23,80
2023/06/24,80
2023/06/25,80
2023/06/26,80
2023/06/27,80
2023/06/28,88
2023/06/29,62
2023/06/30,62
2023/07/01,66
2023/07/02,66
2023/07/03,66
2023/07/04,70
2023/07/05,97
2023/07/06,97
2023/07/07,97
2023/07/08,97
2023/07/09,97
2023/07/10,88
2023/07/11,88
2023/07/12,91
2023/07/13,74
2023/07/14,74
2023/07/15,74
2023/07/16,74
2023/07/17,79
2023/07/18,97
2023/07/19,97
2023/07/20,97
2023/07/21,97
2023/07/22,97
2023/07/23,104
2023/07/24,104
2023/07/25,104
2023/07/26,104
2023/07/27,104
2023/07/28,104
2023/07/29,104
2023/07/30,113
2023/07/31,113
2023/08/01,113
2023/08/02,116
2023/08/03,118
2023/08/04,117
2023/08/05,117
2023/08/06,117
2023/08/07,131
