Price at Date,Price in EUR
2023/06/08,120
2023/06/09,116
2023/06/10,116
2023/06/11,116
2023/06/12,116
2023/06/13,111
2023/06/14,111
2023/06/15,111
2023/06/16,107
2023/06/17,111
2023/06/18,111
2023/06/19,111
2023/06/20,127
2023/06/21,140
2023/06/22,147
2023/06/23,118
2023/06/24,118
2023/06/25,118
2023/06/26,99
2023/06/27,119
2023/06/28,118
2023/06/29,118
2023/06/30,119
2023/07/01,127
2023/07/02,119
2023/07/03,119
2023/07/04,119
2023/07/05,127
2023/07/06,141
2023/07/07,127
2023/07/08,139
2023/07/09,126
2023/07/10,126
2023/07/11,149
2023/07/12,126
2023/07/13,126
2023/07/14,147
2023/07/15,148
2023/07/16,127
2023/07/17,127
2023/07/18,150
2023/07/19,130
2023/07/20,110
2023/07/21,110
2023/07/22,129
2023/07/23,136
2023/07/24,152
2023/07/25,151
2023/07/26,152
2023/07/27,163
2023/07/28,163
2023/07/29,163
2023/07/30,163
2023/07/31,163
2023/08/01,163
2023/08/02,163
2023/08/03,163
2023/08/04,163
2023/08/05,163
2023/08/06,195
2023/08/07,195
