Price at Date,Price in EUR
2023/06/08,129
2023/06/09,118
2023/06/10,123
2023/06/11,129
2023/06/12,120
2023/06/13,123
2023/06/14,121
2023/06/15,81
2023/06/16,129
2023/06/17,129
2023/06/18,129
2023/06/19,129
2023/06/20,120
2023/06/21,100
2023/06/22,112
2023/06/23,117
2023/06/24,129
2023/06/25,129
2023/06/26,129
2023/06/27,120
2023/06/28,120
2023/06/29,101
2023/06/30,93
2023/07/01,106
2023/07/02,112
2023/07/03,129
2023/07/04,129
2023/07/05,129
2023/07/06,112
2023/07/07,129
2023/07/08,129
2023/07/09,129
2023/07/10,125
2023/07/11,124
2023/07/12,122
2023/07/13,129
2023/07/14,129
2023/07/15,129
2023/07/16,129
2023/07/17,122
2023/07/18,107
2023/07/19,102
2023/07/20,108
2023/07/21,108
2023/07/22,113
2023/07/23,113
2023/07/24,118
2023/07/25,118
2023/07/26,129
2023/07/27,129
2023/07/28,128
2023/07/29,128
2023/07/30,128
2023/07/31,128
2023/08/01,128
2023/08/02,128
2023/08/03,129
2023/08/04,135
2023/08/05,129
2023/08/06,153
2023/08/07,157
