Price at Date,Price in EUR
2023/06/08,101
2023/06/09,94
2023/06/10,94
2023/06/11,96
2023/06/12,96
2023/06/13,101
2023/06/14,86
2023/06/15,86
2023/06/16,107
2023/06/17,119
2023/06/18,119
2023/06/19,119
2023/06/20,119
2023/06/21,119
2023/06/22,107
2023/06/23,107
2023/06/24,107
2023/06/25,107
2023/06/26,107
2023/06/27,112
2023/06/28,112
2023/06/29,118
2023/06/30,112
2023/07/01,112
2023/07/02,112
2023/07/03,112
2023/07/04,119
2023/07/05,119
2023/07/06,118
2023/07/07,116
2023/07/08,116
2023/07/09,116
2023/07/10,121
2023/07/11,127
2023/07/12,127
2023/07/13,138
2023/07/14,134
2023/07/15,142
2023/07/16,142
2023/07/17,107
2023/07/18,102
2023/07/19,102
2023/07/20,96
2023/07/21,96
2023/07/22,96
2023/07/23,96
2023/07/24,96
2023/07/25,100
2023/07/26,96
2023/07/27,96
2023/07/28,96
2023/07/29,96
2023/07/30,100
2023/07/31,102
2023/08/01,124
2023/08/02,105
2023/08/03,105
2023/08/04,105
2023/08/05,105
2023/08/06,107
2023/08/07,94
2023/08/08,96
2023/08/09,118
2023/08/10,149
2023/08/11,170
