Price at Date,Price in EUR
2023/06/08,38
2023/06/09,38
2023/06/10,38
2023/06/11,38
2023/06/12,38
2023/06/13,38
2023/06/14,38
2023/06/15,38
2023/06/16,38
2023/06/17,38
2023/06/18,38
2023/06/19,38
2023/06/20,40
2023/06/21,40
2023/06/22,40
2023/06/23,40
2023/06/24,40
2023/06/25,40
2023/06/26,40
2023/06/27,40
2023/06/28,40
2023/06/29,38
2023/06/30,38
2023/07/01,38
2023/07/02,38
2023/07/03,38
2023/07/04,38
2023/07/05,38
2023/07/06,38
2023/07/07,38
2023/07/08,38
2023/07/09,38
2023/07/10,38
2023/07/11,38
2023/07/12,38
2023/07/13,45
2023/07/14,45
2023/07/15,45
2023/07/16,45
2023/07/17,45
2023/07/18,45
2023/07/19,45
2023/07/20,45
2023/07/21,50
2023/07/22,52
2023/07/23,52
2023/07/24,56
2023/07/25,56
2023/07/26,56
2023/07/27,56
2023/07/28,56
2023/07/29,56
2023/07/30,52
2023/07/31,52
2023/08/01,52
2023/08/02,57
2023/08/03,56
2023/08/04,64
2023/08/05,57
2023/08/06,63
2023/08/07,64
2023/08/08,63
2023/08/09,68
2023/08/10,64
2023/08/11,76
