Price at Date,Price in EUR
2023/06/08,69
2023/06/09,59
2023/06/10,59
2023/06/11,65
2023/06/12,43
2023/06/13,50
2023/06/14,65
2023/06/15,67
2023/06/16,78
2023/06/17,93
2023/06/18,95
2023/06/19,83
2023/06/20,61
2023/06/21,72
2023/06/22,96
2023/06/23,95
2023/06/24,95
2023/06/25,95
2023/06/26,83
2023/06/27,71
2023/06/28,66
2023/06/29,77
2023/06/30,60
2023/07/01,70
2023/07/02,80
2023/07/03,93
2023/07/04,108
2023/07/05,125
2023/07/06,137
2023/07/07,100
2023/07/08,100
2023/07/09,100
2023/07/10,100
2023/07/11,93
2023/07/12,80
2023/07/13,93
2023/07/14,93
2023/07/15,100
2023/07/16,100
2023/07/17,100
2023/07/18,100
2023/07/19,93
2023/07/20,100
2023/07/21,109
2023/07/22,119
2023/07/23,119
2023/07/24,92
2023/07/25,89
2023/07/26,93
2023/07/27,109
2023/07/28,135
2023/07/29,124
2023/07/30,123
2023/07/31,142
2023/08/01,94
2023/08/02,94
2023/08/03,106
2023/08/04,135
2023/08/05,169
2023/08/06,201
2023/08/07,230
