Price at Date,Price in EUR
2023/06/08,24
2023/06/09,23
2023/06/10,24
2023/06/11,24
2023/06/12,24
2023/06/13,24
2023/06/14,24
2023/06/15,24
2023/06/16,24
2023/06/17,24
2023/06/18,26
2023/06/19,27
2023/06/20,23
2023/06/21,23
2023/06/22,23
2023/06/23,27
2023/06/24,32
2023/06/25,33
2023/06/26,33
2023/06/27,37
2023/06/28,44
2023/06/29,36
2023/06/30,32
2023/07/01,32
2023/07/02,27
2023/07/03,27
2023/07/04,37
2023/07/05,34
2023/07/06,34
2023/07/07,34
2023/07/08,34
2023/07/09,34
2023/07/10,32
2023/07/11,42
2023/07/12,29
2023/07/13,29
2023/07/14,28
2023/07/15,27
2023/07/16,31
2023/07/17,39
2023/07/18,39
2023/07/19,44
2023/07/20,49
2023/07/21,59
2023/07/22,60
2023/07/23,62
2023/07/24,59
2023/07/25,69
2023/07/26,64
2023/07/27,69
2023/07/28,59
2023/07/29,59
2023/07/30,48
2023/07/31,54
2023/08/01,59
2023/08/02,69
2023/08/03,43
2023/08/04,57
2023/08/05,57
2023/08/06,71
2023/08/07,89
