Price at Date,Price in EUR
2023/06/08,120
2023/06/09,120
2023/06/10,120
2023/06/11,120
2023/06/12,120
2023/06/13,85
2023/06/14,122
2023/06/15,120
2023/06/16,96
2023/06/17,119
2023/06/18,120
2023/06/19,120
2023/06/20,120
2023/06/21,114
2023/06/22,114
2023/06/23,88
2023/06/24,88
2023/06/25,105
2023/06/26,114
2023/06/27,114
2023/06/28,99
2023/06/29,96
2023/06/30,96
2023/07/01,96
2023/07/02,111
2023/07/03,118
2023/07/04,99
2023/07/05,99
2023/07/06,119
2023/07/07,119
2023/07/08,118
2023/07/09,112
2023/07/10,111
2023/07/11,106
2023/07/12,112
2023/07/13,112
2023/07/14,128
2023/07/15,121
2023/07/16,127
2023/07/17,97
2023/07/18,103
2023/07/19,108
2023/07/20,108
2023/07/21,135
2023/07/22,136
2023/07/23,141
2023/07/24,96
2023/07/25,101
2023/07/26,99
2023/07/27,99
2023/07/28,99
2023/07/29,99
2023/07/30,112
2023/07/31,112
2023/08/01,119
2023/08/02,169
2023/08/03,176
2023/08/04,195
2023/08/05,200
2023/08/06,191
2023/08/07,236
