Price at Date,Price in EUR
2023/06/08,76
2023/06/09,76
2023/06/10,76
2023/06/11,76
2023/06/12,70
2023/06/13,70
2023/06/14,70
2023/06/15,70
2023/06/16,76
2023/06/17,76
2023/06/18,76
2023/06/19,76
2023/06/20,80
2023/06/21,80
2023/06/22,80
2023/06/23,80
2023/06/24,86
2023/06/25,86
2023/06/26,86
2023/06/27,86
2023/06/28,86
2023/06/29,86
2023/06/30,80
2023/07/01,80
2023/07/02,80
2023/07/03,80
2023/07/04,80
2023/07/05,80
2023/07/06,80
2023/07/07,80
2023/07/08,76
2023/07/09,80
2023/07/10,80
2023/07/11,86
2023/07/12,86
2023/07/13,86
2023/07/14,86
2023/07/15,86
2023/07/16,86
2023/07/17,86
2023/07/18,93
2023/07/19,93
2023/07/20,93
2023/07/21,93
2023/07/22,93
2023/07/23,103
2023/07/24,103
2023/07/25,103
2023/07/26,103
2023/07/27,103
2023/07/28,103
2023/07/29,103
2023/07/30,103
2023/07/31,113
2023/08/01,113
2023/08/02,103
2023/08/03,103
2023/08/04,113
2023/08/05,113
2023/08/06,127
2023/08/07,127
