Price at Date,Price in EUR
2023/06/08,54
2023/06/09,55
2023/06/10,53
2023/06/11,47
2023/06/12,39
2023/06/13,30
2023/06/14,30
2023/06/15,31
2023/06/16,31
2023/06/17,40
2023/06/18,40
2023/06/19,43
2023/06/20,49
2023/06/21,49
2023/06/22,40
2023/06/23,33
2023/06/24,30
2023/06/25,27
2023/06/26,34
2023/06/27,43
2023/06/28,50
2023/06/29,51
2023/06/30,50
2023/07/01,51
2023/07/02,66
2023/07/03,56
2023/07/04,52
2023/07/05,44
2023/07/06,39
2023/07/07,40
2023/07/08,55
2023/07/09,56
2023/07/10,47
2023/07/11,46
2023/07/12,60
2023/07/13,62
2023/07/14,52
2023/07/15,52
2023/07/16,52
2023/07/17,53
2023/07/18,74
2023/07/19,86
2023/07/20,72
2023/07/21,59
2023/07/22,66
2023/07/23,72
2023/07/24,62
2023/07/25,44
2023/07/26,52
2023/07/27,73
2023/07/28,72
2023/07/29,94
2023/07/30,94
2023/07/31,97
2023/08/01,100
2023/08/02,96
2023/08/03,96
2023/08/04,102
2023/08/05,107
2023/08/06,119
2023/08/07,130
