Price at Date,Price in EUR
2023/06/08,60
2023/06/09,70
2023/06/10,84
2023/06/11,84
2023/06/12,74
2023/06/13,63
2023/06/14,44
2023/06/15,44
2023/06/16,52
2023/06/17,53
2023/06/18,52
2023/06/19,44
2023/06/20,44
2023/06/21,72
2023/06/22,50
2023/06/23,38
2023/06/24,38
2023/06/25,43
2023/06/26,62
2023/06/27,74
2023/06/28,64
2023/06/29,48
2023/06/30,55
2023/07/01,60
2023/07/02,59
2023/07/03,51
2023/07/04,38
2023/07/05,44
2023/07/06,70
2023/07/07,80
2023/07/08,80
2023/07/09,70
2023/07/10,72
2023/07/11,50
2023/07/12,39
2023/07/13,43
2023/07/14,43
2023/07/15,43
2023/07/16,38
2023/07/17,39
2023/07/18,62
2023/07/19,39
2023/07/20,44
2023/07/21,60
2023/07/22,44
2023/07/23,43
2023/07/24,43
2023/07/25,39
2023/07/26,38
2023/07/27,44
2023/07/28,38
2023/07/29,38
2023/07/30,38
2023/07/31,38
2023/08/01,37
2023/08/02,49
2023/08/03,36
2023/08/04,30
2023/08/05,22
2023/08/06,27
2023/08/07,32
