Price at Date,Price in EUR
2023/06/07,100
2023/06/08,86
2023/06/09,89
2023/06/10,89
2023/06/11,89
2023/06/12,85
2023/06/13,85
2023/06/14,84
2023/06/15,69
2023/06/16,74
2023/06/17,74
2023/06/18,80
2023/06/19,85
2023/06/20,89
2023/06/21,85
2023/06/22,80
2023/06/23,79
2023/06/24,74
2023/06/25,76
2023/06/26,81
2023/06/27,85
2023/06/28,80
2023/06/29,85
2023/06/30,82
2023/07/01,89
2023/07/02,93
2023/07/03,96
2023/07/04,100
2023/07/05,102
2023/07/06,112
2023/07/07,110
2023/07/08,117
2023/07/09,117
2023/07/10,117
2023/07/11,117
2023/07/12,126
2023/07/13,122
2023/07/14,115
2023/07/15,115
2023/07/16,114
2023/07/17,99
2023/07/18,99
2023/07/19,101
2023/07/20,101
2023/07/21,102
2023/07/22,104
2023/07/23,104
2023/07/24,91
2023/07/25,91
2023/07/26,106
2023/07/27,108
2023/07/28,118
2023/07/29,114
2023/07/30,121
2023/07/31,127
2023/08/01,136
2023/08/02,152
2023/08/03,158
2023/08/04,171
2023/08/05,184
2023/08/06,206
2023/08/07,249
