Price at Date,Price in EUR
2023/06/07,96
2023/06/08,96
2023/06/09,129
2023/06/10,129
2023/06/11,129
2023/06/12,129
2023/06/13,129
2023/06/14,129
2023/06/15,135
2023/06/16,156
2023/06/17,156
2023/06/18,156
2023/06/19,156
2023/06/20,164
2023/06/21,164
2023/06/22,167
2023/06/23,167
2023/06/24,167
2023/06/25,166
2023/06/26,167
2023/06/27,167
2023/06/28,123
2023/06/29,119
2023/06/30,119
2023/07/01,119
2023/07/02,119
2023/07/03,119
2023/07/04,119
2023/07/05,119
2023/07/06,119
2023/07/07,120
2023/07/08,120
2023/07/09,120
2023/07/10,131
2023/07/11,120
2023/07/12,120
2023/07/13,120
2023/07/14,120
2023/07/15,120
2023/07/16,120
2023/07/17,104
2023/07/18,102
2023/07/19,107
2023/07/20,107
2023/07/21,108
2023/07/22,144
2023/07/23,144
2023/07/24,117
2023/07/25,130
2023/07/26,130
2023/07/27,131
2023/07/28,117
2023/07/29,116
2023/07/30,116
2023/07/31,120
2023/08/01,148
2023/08/02,137
2023/08/03,155
2023/08/04,156
2023/08/05,156
2023/08/06,145
2023/08/07,145
2023/08/08,146
2023/08/09,157
2023/08/10,127
2023/08/11,161
