Price at Date,Price in EUR
2023/06/07,92
2023/06/08,92
2023/06/09,92
2023/06/10,92
2023/06/11,92
2023/06/12,93
2023/06/13,92
2023/06/14,92
2023/06/15,93
2023/06/16,92
2023/06/17,92
2023/06/18,92
2023/06/19,88
2023/06/20,88
2023/06/21,88
2023/06/22,88
2023/06/23,88
2023/06/24,88
2023/06/25,88
2023/06/26,89
2023/06/27,88
2023/06/28,89
2023/06/29,103
2023/06/30,103
2023/07/01,103
2023/07/02,103
2023/07/03,103
2023/07/04,104
2023/07/05,104
2023/07/06,104
2023/07/07,103
2023/07/08,103
2023/07/09,103
2023/07/10,103
2023/07/11,103
2023/07/12,103
2023/07/13,136
2023/07/14,147
2023/07/15,153
2023/07/16,137
2023/07/17,92
2023/07/18,102
2023/07/19,101
2023/07/20,107
2023/07/21,103
2023/07/22,102
2023/07/23,102
2023/07/24,107
2023/07/25,107
2023/07/26,107
2023/07/27,120
2023/07/28,106
2023/07/29,105
2023/07/30,105
2023/07/31,106
2023/08/01,132
2023/08/02,119
2023/08/03,113
2023/08/04,114
2023/08/05,112
2023/08/06,130
2023/08/07,148
