Price at Date,Price in EUR
2023/06/07,119
2023/06/08,118
2023/06/09,123
2023/06/10,124
2023/06/11,113
2023/06/12,114
2023/06/13,113
2023/06/14,109
2023/06/15,113
2023/06/16,112
2023/06/17,109
2023/06/18,93
2023/06/19,93
2023/06/20,89
2023/06/21,89
2023/06/22,93
2023/06/23,93
2023/06/24,93
2023/06/25,99
2023/06/26,100
2023/06/27,100
2023/06/28,89
2023/06/29,83
2023/06/30,89
2023/07/01,89
2023/07/02,89
2023/07/03,89
2023/07/04,97
2023/07/05,85
2023/07/06,90
2023/07/07,109
2023/07/08,110
2023/07/09,115
2023/07/10,115
2023/07/11,111
2023/07/12,114
2023/07/13,104
2023/07/14,102
2023/07/15,101
2023/07/16,101
2023/07/17,112
2023/07/18,101
2023/07/19,131
2023/07/20,132
2023/07/21,132
2023/07/22,117
2023/07/23,123
2023/07/24,130
2023/07/25,131
2023/07/26,131
2023/07/27,114
2023/07/28,123
2023/07/29,123
2023/07/30,123
2023/07/31,106
2023/08/01,109
2023/08/02,109
2023/08/03,109
2023/08/04,118
2023/08/05,112
2023/08/06,112
2023/08/07,134
