Price at Date,Price in EUR
2023/06/07,113
2023/06/08,112
2023/06/09,111
2023/06/10,111
2023/06/11,111
2023/06/12,111
2023/06/13,111
2023/06/14,99
2023/06/15,99
2023/06/16,99
2023/06/17,99
2023/06/18,99
2023/06/19,100
2023/06/20,96
2023/06/21,94
2023/06/22,94
2023/06/23,105
2023/06/24,105
2023/06/25,105
2023/06/26,105
2023/06/27,117
2023/06/28,106
2023/06/29,106
2023/06/30,106
2023/07/01,100
2023/07/02,100
2023/07/03,92
2023/07/04,92
2023/07/05,93
2023/07/06,91
2023/07/07,100
2023/07/08,100
2023/07/09,100
2023/07/10,101
2023/07/11,96
2023/07/12,95
2023/07/13,127
2023/07/14,117
2023/07/15,116
2023/07/16,122
2023/07/17,92
2023/07/18,95
2023/07/19,102
2023/07/20,102
2023/07/21,106
2023/07/22,106
2023/07/23,113
2023/07/24,121
2023/07/25,127
2023/07/26,127
2023/07/27,131
2023/07/28,132
2023/07/29,131
2023/07/30,136
2023/07/31,138
2023/08/01,157
2023/08/02,171
2023/08/03,182
2023/08/04,173
2023/08/05,173
2023/08/06,180
2023/08/07,180
2023/08/08,171
2023/08/09,171
2023/08/10,176
2023/08/11,177
