Price at Date,Price in EUR
2023/06/07,140
2023/06/08,151
2023/06/09,152
2023/06/10,151
2023/06/11,143
2023/06/12,143
2023/06/13,167
2023/06/14,162
2023/06/15,132
2023/06/16,133
2023/06/17,135
2023/06/18,134
2023/06/19,145
2023/06/20,150
2023/06/21,149
2023/06/22,149
2023/06/23,166
2023/06/24,166
2023/06/25,165
2023/06/26,160
2023/06/27,160
2023/06/28,160
2023/06/29,151
2023/06/30,151
2023/07/01,151
2023/07/02,151
2023/07/03,151
2023/07/04,151
2023/07/05,151
2023/07/06,168
2023/07/07,177
2023/07/08,176
2023/07/09,182
2023/07/10,193
2023/07/11,173
2023/07/12,162
2023/07/13,162
2023/07/14,172
2023/07/15,170
2023/07/16,152
2023/07/17,148
2023/07/18,147
2023/07/19,158
2023/07/20,158
2023/07/21,148
2023/07/22,147
2023/07/23,193
2023/07/24,190
2023/07/25,133
2023/07/26,132
2023/07/27,132
2023/07/28,145
2023/07/29,131
2023/07/30,157
2023/07/31,156
2023/08/01,157
2023/08/02,144
2023/08/03,178
2023/08/04,189
2023/08/05,171
2023/08/06,170
2023/08/07,202
2023/08/08,184
2023/08/09,177
2023/08/10,188
2023/08/11,235
