Price at Date,Price in EUR
2023/06/07,120
2023/06/08,120
2023/06/09,120
2023/06/10,100
2023/06/11,100
2023/06/12,101
2023/06/13,110
2023/06/14,110
2023/06/15,131
2023/06/16,143
2023/06/17,150
2023/06/18,154
2023/06/19,156
2023/06/20,160
2023/06/21,160
2023/06/22,130
2023/06/23,145
2023/06/24,145
2023/06/25,160
2023/06/26,161
2023/06/27,150
2023/06/28,150
2023/06/29,144
2023/06/30,144
2023/07/01,144
2023/07/02,161
2023/07/03,161
2023/07/04,161
2023/07/05,156
2023/07/06,152
2023/07/07,145
2023/07/08,121
2023/07/09,131
2023/07/10,131
2023/07/11,122
2023/07/12,131
2023/07/13,131
2023/07/14,131
2023/07/15,111
2023/07/16,121
2023/07/17,121
2023/07/18,131
2023/07/19,121
2023/07/20,131
2023/07/21,132
2023/07/22,131
2023/07/23,131
2023/07/24,131
2023/07/25,131
2023/07/26,126
2023/07/27,112
2023/07/28,128
2023/07/29,100
2023/07/30,140
2023/07/31,139
2023/08/01,137
2023/08/02,141
2023/08/03,131
2023/08/04,131
2023/08/05,130
2023/08/06,130
2023/08/07,146
