Price at Date,Price in EUR
2023/06/07,64
2023/06/08,55
2023/06/09,53
2023/06/10,53
2023/06/11,54
2023/06/12,55
2023/06/13,46
2023/06/14,45
2023/06/15,54
2023/06/16,55
2023/06/17,53
2023/06/18,47
2023/06/19,40
2023/06/20,40
2023/06/21,45
2023/06/22,50
2023/06/23,45
2023/06/24,44
2023/06/25,40
2023/06/26,40
2023/06/27,47
2023/06/28,50
2023/06/29,50
2023/06/30,50
2023/07/01,50
2023/07/02,54
2023/07/03,54
2023/07/04,44
2023/07/05,40
2023/07/06,41
2023/07/07,45
2023/07/08,45
2023/07/09,45
2023/07/10,50
2023/07/11,54
2023/07/12,64
2023/07/13,64
2023/07/14,53
2023/07/15,47
2023/07/16,37
2023/07/17,44
2023/07/18,54
2023/07/19,47
2023/07/20,45
2023/07/21,41
2023/07/22,50
2023/07/23,50
2023/07/24,52
2023/07/25,44
2023/07/26,80
2023/07/27,77
2023/07/28,66
2023/07/29,56
2023/07/30,56
2023/07/31,62
2023/08/01,45
2023/08/02,53
2023/08/03,53
2023/08/04,71
2023/08/05,64
2023/08/06,70
2023/08/07,111
