Price at Date,Price in EUR
2023/06/07,113
2023/06/08,113
2023/06/09,113
2023/06/10,112
2023/06/11,113
2023/06/12,113
2023/06/13,113
2023/06/14,113
2023/06/15,113
2023/06/16,113
2023/06/17,112
2023/06/18,112
2023/06/19,113
2023/06/20,112
2023/06/21,112
2023/06/22,110
2023/06/23,112
2023/06/24,112
2023/06/25,112
2023/06/26,109
2023/06/27,110
2023/06/28,112
2023/06/29,111
2023/06/30,93
2023/07/01,93
2023/07/02,104
2023/07/03,112
2023/07/04,112
2023/07/05,112
2023/07/06,113
2023/07/07,112
2023/07/08,112
2023/07/09,112
2023/07/10,113
2023/07/11,115
2023/07/12,122
2023/07/13,123
2023/07/14,124
2023/07/15,127
2023/07/16,127
2023/07/17,99
2023/07/18,99
2023/07/19,99
2023/07/20,89
2023/07/21,101
2023/07/22,106
2023/07/23,92
2023/07/24,99
2023/07/25,96
2023/07/26,95
2023/07/27,100
2023/07/28,90
2023/07/29,90
2023/07/30,96
2023/07/31,96
2023/08/01,86
2023/08/02,92
2023/08/03,113
2023/08/04,119
2023/08/05,113
2023/08/06,118
2023/08/07,131
