Price at Date,Price in EUR
2023/06/08,103
2023/06/09,103
2023/06/10,102
2023/06/11,103
2023/06/12,102
2023/06/13,103
2023/06/14,102
2023/06/15,102
2023/06/16,102
2023/06/17,102
2023/06/18,96
2023/06/19,102
2023/06/20,101
2023/06/21,101
2023/06/22,106
2023/06/23,106
2023/06/24,97
2023/06/25,97
2023/06/26,96
2023/06/27,95
2023/06/28,107
2023/06/29,107
2023/06/30,105
2023/07/01,105
2023/07/02,105
2023/07/03,96
2023/07/04,91
2023/07/05,95
2023/07/06,106
2023/07/07,105
2023/07/08,108
2023/07/09,108
2023/07/10,110
2023/07/11,110
2023/07/12,114
2023/07/13,105
2023/07/14,106
2023/07/15,107
2023/07/16,113
2023/07/17,99
2023/07/18,81
2023/07/19,82
2023/07/20,81
2023/07/21,79
2023/07/22,79
2023/07/23,84
2023/07/24,85
2023/07/25,85
2023/07/26,89
2023/07/27,93
2023/07/28,95
2023/07/29,99
2023/07/30,96
2023/07/31,96
2023/08/01,97
2023/08/02,96
2023/08/03,101
2023/08/04,86
2023/08/05,94
2023/08/06,100
2023/08/07,128
