Price at Date,Price in EUR
2023/06/08,45
2023/06/09,45
2023/06/10,44
2023/06/11,45
2023/06/12,45
2023/06/13,50
2023/06/14,49
2023/06/15,54
2023/06/16,56
2023/06/17,56
2023/06/18,55
2023/06/19,51
2023/06/20,41
2023/06/21,41
2023/06/22,41
2023/06/23,38
2023/06/24,38
2023/06/25,31
2023/06/26,30
2023/06/27,36
2023/06/28,32
2023/06/29,32
2023/06/30,43
2023/07/01,44
2023/07/02,45
2023/07/03,39
2023/07/04,36
2023/07/05,36
2023/07/06,37
2023/07/07,45
2023/07/08,56
2023/07/09,47
2023/07/10,47
2023/07/11,47
2023/07/12,41
2023/07/13,41
2023/07/14,41
2023/07/15,52
2023/07/16,60
2023/07/17,51
2023/07/18,55
2023/07/19,57
2023/07/20,48
2023/07/21,41
2023/07/22,41
2023/07/23,49
2023/07/24,59
2023/07/25,70
2023/07/26,70
2023/07/27,49
2023/07/28,55
2023/07/29,64
2023/07/30,64
2023/07/31,69
2023/08/01,76
2023/08/02,67
2023/08/03,60
2023/08/04,69
2023/08/05,80
2023/08/06,89
2023/08/07,90
