Price at Date,Price in EUR
2023/06/08,49
2023/06/09,53
2023/06/10,53
2023/06/11,54
2023/06/12,53
2023/06/13,54
2023/06/14,48
2023/06/15,48
2023/06/16,50
2023/06/17,50
2023/06/18,49
2023/06/19,49
2023/06/20,49
2023/06/21,44
2023/06/22,44
2023/06/23,44
2023/06/24,45
2023/06/25,48
2023/06/26,47
2023/06/27,47
2023/06/28,43
2023/06/29,43
2023/06/30,42
2023/07/01,43
2023/07/02,44
2023/07/03,43
2023/07/04,45
2023/07/05,42
2023/07/06,37
2023/07/07,37
2023/07/08,43
2023/07/09,49
2023/07/10,51
2023/07/11,60
2023/07/12,80
2023/07/13,80
2023/07/14,81
2023/07/15,82
2023/07/16,80
2023/07/17,62
2023/07/18,71
2023/07/19,71
2023/07/20,67
2023/07/21,60
2023/07/22,60
2023/07/23,56
2023/07/24,60
2023/07/25,63
2023/07/26,80
2023/07/27,66
2023/07/28,82
2023/07/29,69
2023/07/30,71
2023/07/31,72
2023/08/01,71
2023/08/02,77
2023/08/03,82
2023/08/04,71
2023/08/05,67
2023/08/06,72
2023/08/07,77
2023/08/08,81
2023/08/09,81
2023/08/10,80
2023/08/11,79
