Price at Date,Price in EUR
2023/06/08,62
2023/06/09,62
2023/06/10,60
2023/06/11,61
2023/06/12,53
2023/06/13,53
2023/06/14,53
2023/06/15,50
2023/06/16,47
2023/06/17,46
2023/06/18,46
2023/06/19,46
2023/06/20,47
2023/06/21,55
2023/06/22,56
2023/06/23,63
2023/06/24,56
2023/06/25,55
2023/06/26,54
2023/06/27,55
2023/06/28,56
2023/06/29,55
2023/06/30,63
2023/07/01,64
2023/07/02,64
2023/07/03,63
2023/07/04,63
2023/07/05,63
2023/07/06,53
2023/07/07,52
2023/07/08,52
2023/07/09,52
2023/07/10,52
2023/07/11,80
2023/07/12,81
2023/07/13,51
2023/07/14,46
2023/07/15,46
2023/07/16,45
2023/07/17,38
2023/07/18,38
2023/07/19,45
2023/07/20,44
2023/07/21,38
2023/07/22,39
2023/07/23,53
2023/07/24,45
2023/07/25,44
2023/07/26,44
2023/07/27,45
2023/07/28,45
2023/07/29,45
2023/07/30,38
2023/07/31,38
2023/08/01,38
2023/08/02,38
2023/08/03,39
2023/08/04,41
2023/08/05,39
2023/08/06,39
2023/08/07,46
