Price at Date,Price in EUR
2023/06/08,70
2023/06/09,70
2023/06/10,70
2023/06/11,80
2023/06/12,70
2023/06/13,70
2023/06/14,80
2023/06/15,80
2023/06/16,81
2023/06/17,81
2023/06/18,80
2023/06/19,81
2023/06/20,81
2023/06/21,81
2023/06/22,56
2023/06/23,56
2023/06/24,56
2023/06/25,57
2023/06/26,61
2023/06/27,61
2023/06/28,61
2023/06/29,66
2023/06/30,66
2023/07/01,72
2023/07/02,82
2023/07/03,91
2023/07/04,91
2023/07/05,91
2023/07/06,89
2023/07/07,88
2023/07/08,88
2023/07/09,69
2023/07/10,68
2023/07/11,79
2023/07/12,80
2023/07/13,80
2023/07/14,72
2023/07/15,71
2023/07/16,50
2023/07/17,55
2023/07/18,61
2023/07/19,81
2023/07/20,81
2023/07/21,90
2023/07/22,91
2023/07/23,80
2023/07/24,81
2023/07/25,81
2023/07/26,90
2023/07/27,100
2023/07/28,99
2023/07/29,99
2023/07/30,99
2023/07/31,79
2023/08/01,81
2023/08/02,80
2023/08/03,70
2023/08/04,119
2023/08/05,130
2023/08/06,130
2023/08/07,178
