Price at Date,Price in EUR
2023/06/08,134
2023/06/09,139
2023/06/10,139
2023/06/11,139
2023/06/12,142
2023/06/13,147
2023/06/14,159
2023/06/15,159
2023/06/16,140
2023/06/17,141
2023/06/18,150
2023/06/19,158
2023/06/20,133
2023/06/21,133
2023/06/22,139
2023/06/23,142
2023/06/24,145
2023/06/25,125
2023/06/26,135
2023/06/27,117
2023/06/28,117
2023/06/29,117
2023/06/30,94
2023/07/01,101
2023/07/02,131
2023/07/03,134
2023/07/04,119
2023/07/05,123
2023/07/06,126
2023/07/07,151
2023/07/08,152
2023/07/09,151
2023/07/10,156
2023/07/11,158
2023/07/12,158
2023/07/13,154
2023/07/14,144
2023/07/15,143
2023/07/16,138
2023/07/17,129
2023/07/18,115
2023/07/19,121
2023/07/20,138
2023/07/21,142
2023/07/22,135
2023/07/23,137
2023/07/24,137
2023/07/25,138
2023/07/26,124
2023/07/27,124
2023/07/28,135
2023/07/29,151
2023/07/30,151
2023/07/31,154
2023/08/01,155
2023/08/02,155
2023/08/03,99
2023/08/04,99
2023/08/05,97
2023/08/06,148
2023/08/07,150
