Price at Date,Price in EUR
2023/06/08,104
2023/06/09,104
2023/06/10,99
2023/06/11,103
2023/06/12,91
2023/06/13,105
2023/06/14,118
2023/06/15,117
2023/06/16,114
2023/06/17,114
2023/06/18,119
2023/06/19,126
2023/06/20,132
2023/06/21,122
2023/06/22,123
2023/06/23,124
2023/06/24,120
2023/06/25,125
2023/06/26,124
2023/06/27,130
2023/06/28,136
2023/06/29,129
2023/06/30,159
2023/07/01,139
2023/07/02,118
2023/07/03,149
2023/07/04,129
2023/07/05,132
2023/07/06,133
2023/07/07,148
2023/07/08,142
2023/07/09,171
2023/07/10,129
2023/07/11,129
2023/07/12,125
2023/07/13,130
2023/07/14,132
2023/07/15,118
2023/07/16,117
2023/07/17,114
2023/07/18,120
2023/07/19,91
2023/07/20,100
2023/07/21,99
2023/07/22,100
2023/07/23,110
2023/07/24,114
2023/07/25,92
2023/07/26,96
2023/07/27,128
2023/07/28,137
2023/07/29,129
2023/07/30,129
2023/07/31,135
2023/08/01,124
2023/08/02,119
2023/08/03,122
2023/08/04,132
2023/08/05,133
2023/08/06,137
2023/08/07,152
