Price at Date,Price in EUR
2023/06/08,50
2023/06/09,39
2023/06/10,39
2023/06/11,40
2023/06/12,39
2023/06/13,40
2023/06/14,45
2023/06/15,44
2023/06/16,36
2023/06/17,36
2023/06/18,36
2023/06/19,40
2023/06/20,50
2023/06/21,60
2023/06/22,61
2023/06/23,66
2023/06/24,72
2023/06/25,72
2023/06/26,71
2023/06/27,71
2023/06/28,72
2023/06/29,72
2023/06/30,66
2023/07/01,46
2023/07/02,45
2023/07/03,45
2023/07/04,46
2023/07/05,51
2023/07/06,42
2023/07/07,50
2023/07/08,39
2023/07/09,44
2023/07/10,44
2023/07/11,49
2023/07/12,62
2023/07/13,63
2023/07/14,59
2023/07/15,69
2023/07/16,70
2023/07/17,70
2023/07/18,71
2023/07/19,61
2023/07/20,51
2023/07/21,49
2023/07/22,49
2023/07/23,47
2023/07/24,42
2023/07/25,47
2023/07/26,55
2023/07/27,39
2023/07/28,40
2023/07/29,44
2023/07/30,44
2023/07/31,54
2023/08/01,71
2023/08/02,80
2023/08/03,73
2023/08/04,79
2023/08/05,80
2023/08/06,80
2023/08/07,102
