Price at Date,Price in EUR
2023/06/08,37
2023/06/09,37
2023/06/10,35
2023/06/11,35
2023/06/12,31
2023/06/13,31
2023/06/14,31
2023/06/15,36
2023/06/16,35
2023/06/17,35
2023/06/18,35
2023/06/19,35
2023/06/20,35
2023/06/21,41
2023/06/22,41
2023/06/23,35
2023/06/24,35
2023/06/25,35
2023/06/26,31
2023/06/27,30
2023/06/28,30
2023/06/29,26
2023/06/30,26
2023/07/01,27
2023/07/02,26
2023/07/03,22
2023/07/04,22
2023/07/05,22
2023/07/06,22
2023/07/07,22
2023/07/08,22
2023/07/09,22
2023/07/10,21
2023/07/11,21
2023/07/12,21
2023/07/13,21
2023/07/14,22
2023/07/15,22
2023/07/16,22
2023/07/17,22
2023/07/18,23
2023/07/19,23
2023/07/20,23
2023/07/21,31
2023/07/22,23
2023/07/23,23
2023/07/24,23
2023/07/25,21
2023/07/26,21
2023/07/27,21
2023/07/28,22
2023/07/29,30
2023/07/30,30
2023/07/31,30
2023/08/01,22
2023/08/02,21
2023/08/03,22
2023/08/04,21
2023/08/05,22
2023/08/06,23
2023/08/07,21
2023/08/08,22
2023/08/09,22
2023/08/10,24
2023/08/11,29
