Price at Date,Price in EUR
2023/06/08,37
2023/06/09,41
2023/06/10,41
2023/06/11,41
2023/06/12,41
2023/06/13,41
2023/06/14,41
2023/06/15,37
2023/06/16,37
2023/06/17,37
2023/06/18,31
2023/06/19,37
2023/06/20,37
2023/06/21,37
2023/06/22,37
2023/06/23,37
2023/06/24,35
2023/06/25,35
2023/06/26,35
2023/06/27,35
2023/06/28,35
2023/06/29,35
2023/06/30,35
2023/07/01,35
2023/07/02,35
2023/07/03,28
2023/07/04,28
2023/07/05,43
2023/07/06,47
2023/07/07,47
2023/07/08,52
2023/07/09,52
2023/07/10,52
2023/07/11,52
2023/07/12,60
2023/07/13,52
2023/07/14,52
2023/07/15,52
2023/07/16,52
2023/07/17,52
2023/07/18,62
2023/07/19,62
2023/07/20,51
2023/07/21,51
2023/07/22,53
2023/07/23,57
2023/07/24,61
2023/07/25,69
2023/07/26,69
2023/07/27,71
2023/07/28,72
2023/07/29,74
2023/07/30,57
2023/07/31,68
2023/08/01,71
2023/08/02,71
2023/08/03,71
2023/08/04,73
2023/08/05,73
2023/08/06,80
2023/08/07,99
