Price at Date,Price in EUR
2023/06/08,37
2023/06/09,37
2023/06/10,37
2023/06/11,37
2023/06/12,37
2023/06/13,37
2023/06/14,37
2023/06/15,38
2023/06/16,38
2023/06/17,34
2023/06/18,39
2023/06/19,39
2023/06/20,39
2023/06/21,38
2023/06/22,38
2023/06/23,38
2023/06/24,39
2023/06/25,38
2023/06/26,27
2023/06/27,27
2023/06/28,27
2023/06/29,27
2023/06/30,27
2023/07/01,27
2023/07/02,27
2023/07/03,27
2023/07/04,27
2023/07/05,27
2023/07/06,34
2023/07/07,34
2023/07/08,34
2023/07/09,34
2023/07/10,28
2023/07/11,28
2023/07/12,34
2023/07/13,35
2023/07/14,35
2023/07/15,35
2023/07/16,35
2023/07/17,35
2023/07/18,31
2023/07/19,34
2023/07/20,34
2023/07/21,35
2023/07/22,35
2023/07/23,37
2023/07/24,37
2023/07/25,37
2023/07/26,37
2023/07/27,37
2023/07/28,39
2023/07/29,40
2023/07/30,40
2023/07/31,34
2023/08/01,34
2023/08/02,34
2023/08/03,39
2023/08/04,41
2023/08/05,42
2023/08/06,42
2023/08/07,42
2023/08/08,42
2023/08/09,42
2023/08/10,42
2023/08/11,42
