Price at Date,Price in EUR
2023/06/08,49
2023/06/09,49
2023/06/10,40
2023/06/11,40
2023/06/12,40
2023/06/13,40
2023/06/14,40
2023/06/15,40
2023/06/16,40
2023/06/17,35
2023/06/18,34
2023/06/19,34
2023/06/20,34
2023/06/21,41
2023/06/22,40
2023/06/23,41
2023/06/24,41
2023/06/25,34
2023/06/26,34
2023/06/27,41
2023/06/28,28
2023/06/29,28
2023/06/30,28
2023/07/01,29
2023/07/02,29
2023/07/03,29
2023/07/04,30
2023/07/05,29
2023/07/06,41
2023/07/07,41
2023/07/08,34
2023/07/09,34
2023/07/10,34
2023/07/11,40
2023/07/12,40
2023/07/13,49
2023/07/14,49
2023/07/15,49
2023/07/16,49
2023/07/17,69
2023/07/18,70
2023/07/19,70
2023/07/20,70
2023/07/21,61
2023/07/22,61
2023/07/23,61
2023/07/24,55
2023/07/25,61
2023/07/26,61
2023/07/27,70
2023/07/28,70
2023/07/29,70
2023/07/30,70
2023/07/31,70
2023/08/01,70
2023/08/02,70
2023/08/03,76
2023/08/04,76
2023/08/05,65
2023/08/06,65
2023/08/07,69
2023/08/08,69
2023/08/09,60
2023/08/10,54
2023/08/11,60
