Price at Date,Price in EUR
2023/06/08,52
2023/06/09,52
2023/06/10,53
2023/06/11,53
2023/06/12,53
2023/06/13,54
2023/06/14,53
2023/06/15,64
2023/06/16,64
2023/06/17,60
2023/06/18,55
2023/06/19,54
2023/06/20,46
2023/06/21,46
2023/06/22,47
2023/06/23,46
2023/06/24,41
2023/06/25,41
2023/06/26,41
2023/06/27,33
2023/06/28,30
2023/06/29,30
2023/06/30,30
2023/07/01,30
2023/07/02,31
2023/07/03,32
2023/07/04,35
2023/07/05,39
2023/07/06,49
2023/07/07,47
2023/07/08,42
2023/07/09,48
2023/07/10,54
2023/07/11,47
2023/07/12,54
2023/07/13,64
2023/07/14,63
2023/07/15,61
2023/07/16,70
2023/07/17,63
2023/07/18,61
2023/07/19,61
2023/07/20,52
2023/07/21,44
2023/07/22,43
2023/07/23,43
2023/07/24,33
2023/07/25,30
2023/07/26,40
2023/07/27,26
2023/07/28,28
2023/07/29,34
2023/07/30,52
2023/07/31,53
2023/08/01,53
2023/08/02,53
2023/08/03,34
2023/08/04,34
2023/08/05,33
2023/08/06,49
2023/08/07,96
