Price at Date,Price in EUR
2023/06/08,66
2023/06/09,67
2023/06/10,67
2023/06/11,66
2023/06/12,66
2023/06/13,67
2023/06/14,67
2023/06/15,66
2023/06/16,66
2023/06/17,67
2023/06/18,67
2023/06/19,66
2023/06/20,66
2023/06/21,66
2023/06/22,67
2023/06/23,66
2023/06/24,74
2023/06/25,81
2023/06/26,80
2023/06/27,81
2023/06/28,80
2023/06/29,81
2023/06/30,80
2023/07/01,81
2023/07/02,80
2023/07/03,80
2023/07/04,81
2023/07/05,80
2023/07/06,81
2023/07/07,81
2023/07/08,81
2023/07/09,80
2023/07/10,80
2023/07/11,89
2023/07/12,96
2023/07/13,102
2023/07/14,102
2023/07/15,102
2023/07/16,101
2023/07/17,102
2023/07/18,102
2023/07/19,102
2023/07/20,102
2023/07/21,102
2023/07/22,101
2023/07/23,102
2023/07/24,102
2023/07/25,102
2023/07/26,102
2023/07/27,102
2023/07/28,102
2023/07/29,101
2023/07/30,101
2023/07/31,102
2023/08/01,102
2023/08/02,105
2023/08/03,105
2023/08/04,105
2023/08/05,105
2023/08/06,106
2023/08/07,105
