Price at Date,Price in EUR
2023/06/08,107
2023/06/09,112
2023/06/10,113
2023/06/11,112
2023/06/12,120
2023/06/13,132
2023/06/14,116
2023/06/15,92
2023/06/16,130
2023/06/17,131
2023/06/18,132
2023/06/19,131
2023/06/20,97
2023/06/21,97
2023/06/22,97
2023/06/23,97
2023/06/24,97
2023/06/25,96
2023/06/26,96
2023/06/27,96
2023/06/28,96
2023/06/29,100
2023/06/30,112
2023/07/01,109
2023/07/02,117
2023/07/03,112
2023/07/04,104
2023/07/05,104
2023/07/06,104
2023/07/07,121
2023/07/08,103
2023/07/09,103
2023/07/10,89
2023/07/11,89
2023/07/12,89
2023/07/13,103
2023/07/14,103
2023/07/15,104
2023/07/16,110
2023/07/17,110
2023/07/18,98
2023/07/19,110
2023/07/20,98
2023/07/21,98
2023/07/22,98
2023/07/23,110
2023/07/24,107
2023/07/25,100
2023/07/26,88
2023/07/27,82
2023/07/28,87
2023/07/29,107
2023/07/30,86
2023/07/31,86
2023/08/01,78
2023/08/02,80
2023/08/03,80
2023/08/04,100
2023/08/05,109
2023/08/06,109
2023/08/07,116
