Price at Date,Price in EUR
2023/06/08,45
2023/06/09,44
2023/06/10,45
2023/06/11,44
2023/06/12,49
2023/06/13,49
2023/06/14,49
2023/06/15,49
2023/06/16,49
2023/06/17,49
2023/06/18,60
2023/06/19,54
2023/06/20,54
2023/06/21,51
2023/06/22,44
2023/06/23,45
2023/06/24,51
2023/06/25,49
2023/06/26,49
2023/06/27,51
2023/06/28,51
2023/06/29,52
2023/06/30,52
2023/07/01,52
2023/07/02,49
2023/07/03,52
2023/07/04,50
2023/07/05,49
2023/07/06,47
2023/07/07,47
2023/07/08,54
2023/07/09,54
2023/07/10,54
2023/07/11,54
2023/07/12,54
2023/07/13,54
2023/07/14,51
2023/07/15,51
2023/07/16,57
2023/07/17,61
2023/07/18,61
2023/07/19,65
2023/07/20,53
2023/07/21,53
2023/07/22,60
2023/07/23,59
2023/07/24,49
2023/07/25,49
2023/07/26,57
2023/07/27,59
2023/07/28,59
2023/07/29,59
2023/07/30,59
2023/07/31,59
2023/08/01,59
2023/08/02,59
2023/08/03,69
2023/08/04,69
2023/08/05,70
2023/08/06,69
2023/08/07,69
2023/08/08,69
2023/08/09,69
2023/08/10,69
2023/08/11,69
