Price at Date,Price in EUR
2023/06/08,70
2023/06/09,74
2023/06/10,80
2023/06/11,92
2023/06/12,75
2023/06/13,71
2023/06/14,71
2023/06/15,82
2023/06/16,82
2023/06/17,82
2023/06/18,82
2023/06/19,80
2023/06/20,80
2023/06/21,82
2023/06/22,74
2023/06/23,74
2023/06/24,74
2023/06/25,74
2023/06/26,86
2023/06/27,72
2023/06/28,68
2023/06/29,61
2023/06/30,61
2023/07/01,61
2023/07/02,61
2023/07/03,63
2023/07/04,63
2023/07/05,81
2023/07/06,81
2023/07/07,82
2023/07/08,82
2023/07/09,82
2023/07/10,54
2023/07/11,63
2023/07/12,76
2023/07/13,73
2023/07/14,63
2023/07/15,63
2023/07/16,63
2023/07/17,44
2023/07/18,44
2023/07/19,40
2023/07/20,40
2023/07/21,47
2023/07/22,68
2023/07/23,78
2023/07/24,54
2023/07/25,54
2023/07/26,78
2023/07/27,71
2023/07/28,76
2023/07/29,82
2023/07/30,82
2023/07/31,73
2023/08/01,73
2023/08/02,54
2023/08/03,54
2023/08/04,58
2023/08/05,57
2023/08/06,85
2023/08/07,88
