Price at Date,Price in EUR
2023/06/08,65
2023/06/09,59
2023/06/10,54
2023/06/11,54
2023/06/12,54
2023/06/13,54
2023/06/14,44
2023/06/15,44
2023/06/16,45
2023/06/17,45
2023/06/18,45
2023/06/19,45
2023/06/20,34
2023/06/21,34
2023/06/22,34
2023/06/23,34
2023/06/24,35
2023/06/25,34
2023/06/26,34
2023/06/27,34
2023/06/28,28
2023/06/29,25
2023/06/30,21
2023/07/01,21
2023/07/02,19
2023/07/03,20
2023/07/04,21
2023/07/05,20
2023/07/06,18
2023/07/07,18
2023/07/08,20
2023/07/09,25
2023/07/10,20
2023/07/11,20
2023/07/12,19
2023/07/13,19
2023/07/14,19
2023/07/15,20
2023/07/16,20
2023/07/17,19
2023/07/18,19
2023/07/19,19
2023/07/20,19
2023/07/21,20
2023/07/22,20
2023/07/23,19
2023/07/24,19
2023/07/25,19
2023/07/26,20
2023/07/27,19
2023/07/28,34
2023/07/29,40
2023/07/30,35
2023/07/31,34
2023/08/01,34
2023/08/02,60
2023/08/03,54
2023/08/04,60
2023/08/05,55
2023/08/06,61
2023/08/07,60
