Price at Date,Price in EUR
2023/06/08,324
2023/06/09,324
2023/06/10,324
2023/06/11,324
2023/06/12,314
2023/06/13,314
2023/06/14,336
2023/06/15,318
2023/06/16,362
2023/06/17,376
2023/06/18,376
2023/06/19,355
2023/06/20,355
2023/06/21,354
2023/06/22,354
2023/06/23,354
2023/06/24,354
2023/06/25,354
2023/06/26,354
2023/06/27,354
2023/06/28,354
2023/06/29,340
2023/06/30,340
2023/07/01,340
2023/07/02,340
2023/07/03,340
2023/07/04,344
2023/07/05,344
2023/07/06,344
2023/07/07,344
2023/07/08,344
2023/07/09,344
2023/07/10,344
2023/07/11,344
2023/07/12,362
2023/07/13,362
2023/07/14,362
2023/07/15,362
2023/07/16,362
2023/07/17,362
2023/07/18,362
2023/07/19,362
2023/07/20,376
2023/07/21,362
2023/07/22,362
2023/07/23,362
2023/07/24,362
2023/07/25,362
2023/07/26,369
2023/07/27,362
2023/07/28,362
2023/07/29,362
2023/07/30,362
2023/07/31,362
2023/08/01,362
2023/08/02,362
2023/08/03,340
2023/08/04,340
2023/08/05,354
2023/08/06,376
2023/08/07,340
2023/08/08,317
2023/08/09,317
2023/08/10,340
2023/08/11,331
