Price at Date,Price in EUR
2023/06/08,136
2023/06/09,136
2023/06/10,136
2023/06/11,136
2023/06/12,136
2023/06/13,136
2023/06/14,136
2023/06/15,136
2023/06/16,136
2023/06/17,136
2023/06/18,136
2023/06/19,136
2023/06/20,136
2023/06/21,136
2023/06/22,136
2023/06/23,136
2023/06/24,136
2023/06/25,136
2023/06/26,136
2023/06/27,136
2023/06/28,136
2023/06/29,136
2023/06/30,136
2023/07/01,136
2023/07/02,136
2023/07/03,136
2023/07/04,136
2023/07/05,136
2023/07/06,136
2023/07/07,136
2023/07/08,115
2023/07/09,123
2023/07/10,123
2023/07/11,104
2023/07/12,103
2023/07/13,93
2023/07/14,100
2023/07/15,100
2023/07/16,100
2023/07/17,77
2023/07/18,105
2023/07/19,105
2023/07/20,128
2023/07/21,127
2023/07/22,125
2023/07/23,127
2023/07/24,111
2023/07/25,81
2023/07/26,114
2023/07/27,114
2023/07/28,114
2023/07/29,114
2023/07/30,114
2023/07/31,114
2023/08/01,114
2023/08/02,114
2023/08/03,114
2023/08/04,114
2023/08/05,114
2023/08/06,114
2023/08/07,114
2023/08/08,114
2023/08/09,114
2023/08/10,114
2023/08/11,157
