Price at Date,Price in EUR
2023/06/08,22
2023/06/09,24
2023/06/10,27
2023/06/11,27
2023/06/12,27
2023/06/13,27
2023/06/14,27
2023/06/15,27
2023/06/16,22
2023/06/17,24
2023/06/18,22
2023/06/19,22
2023/06/20,22
2023/06/21,24
2023/06/22,24
2023/06/23,27
2023/06/24,27
2023/06/25,27
2023/06/26,27
2023/06/27,27
2023/06/28,34
2023/06/29,39
2023/06/30,44
2023/07/01,44
2023/07/02,39
2023/07/03,40
2023/07/04,44
2023/07/05,44
2023/07/06,41
2023/07/07,49
2023/07/08,49
2023/07/09,49
2023/07/10,54
2023/07/11,54
2023/07/12,54
2023/07/13,64
2023/07/14,64
2023/07/15,69
2023/07/16,69
2023/07/17,69
2023/07/18,79
2023/07/19,79
2023/07/20,79
2023/07/21,79
2023/07/22,89
2023/07/23,79
2023/07/24,79
2023/07/25,64
2023/07/26,69
2023/07/27,69
2023/07/28,69
2023/07/29,69
2023/07/30,69
2023/07/31,69
2023/08/01,59
2023/08/02,64
2023/08/03,69
2023/08/04,89
2023/08/05,109
2023/08/06,109
2023/08/07,119
