Price at Date,Price in EUR
2023/06/08,39
2023/06/09,27
2023/06/10,27
2023/06/11,27
2023/06/12,27
2023/06/13,27
2023/06/14,29
2023/06/15,34
2023/06/16,27
2023/06/17,27
2023/06/18,27
2023/06/19,27
2023/06/20,27
2023/06/21,29
2023/06/22,34
2023/06/23,34
2023/06/24,44
2023/06/25,44
2023/06/26,44
2023/06/27,49
2023/06/28,49
2023/06/29,49
2023/06/30,49
2023/07/01,44
2023/07/02,49
2023/07/03,59
2023/07/04,59
2023/07/05,59
2023/07/06,54
2023/07/07,59
2023/07/08,59
2023/07/09,59
2023/07/10,59
2023/07/11,59
2023/07/12,59
2023/07/13,49
2023/07/14,44
2023/07/15,44
2023/07/16,44
2023/07/17,44
2023/07/18,50
2023/07/19,50
2023/07/20,45
2023/07/21,28
2023/07/22,30
2023/07/23,30
2023/07/24,30
2023/07/25,30
2023/07/26,35
2023/07/27,35
2023/07/28,28
2023/07/29,30
2023/07/30,30
2023/07/31,30
2023/08/01,35
2023/08/02,45
2023/08/03,64
2023/08/04,69
2023/08/05,108
2023/08/06,104
2023/08/07,108
2023/08/08,109
2023/08/09,88
2023/08/10,97
2023/08/11,109
