Price at Date,Price in EUR
2023/06/08,52
2023/06/09,52
2023/06/10,59
2023/06/11,64
2023/06/12,51
2023/06/13,51
2023/06/14,51
2023/06/15,45
2023/06/16,45
2023/06/17,44
2023/06/18,44
2023/06/19,45
2023/06/20,57
2023/06/21,57
2023/06/22,58
2023/06/23,64
2023/06/24,60
2023/06/25,67
2023/06/26,67
2023/06/27,67
2023/06/28,64
2023/06/29,53
2023/06/30,53
2023/07/01,51
2023/07/02,51
2023/07/03,51
2023/07/04,51
2023/07/05,52
2023/07/06,60
2023/07/07,60
2023/07/08,60
2023/07/09,67
2023/07/10,66
2023/07/11,48
2023/07/12,48
2023/07/13,49
2023/07/14,43
2023/07/15,43
2023/07/16,39
2023/07/17,39
2023/07/18,37
2023/07/19,37
2023/07/20,44
2023/07/21,46
2023/07/22,53
2023/07/23,51
2023/07/24,44
2023/07/25,44
2023/07/26,37
2023/07/27,34
2023/07/28,34
2023/07/29,51
2023/07/30,51
2023/07/31,49
2023/08/01,49
2023/08/02,61
2023/08/03,61
2023/08/04,53
2023/08/05,53
2023/08/06,53
2023/08/07,58
2023/08/08,58
2023/08/09,95
2023/08/10,95
2023/08/11,76
