Price at Date,Price in EUR
2023/06/08,102
2023/06/09,102
2023/06/10,102
2023/06/11,102
2023/06/12,126
2023/06/13,126
2023/06/14,135
2023/06/15,135
2023/06/16,135
2023/06/17,149
2023/06/18,135
2023/06/19,135
2023/06/20,135
2023/06/21,135
2023/06/22,135
2023/06/23,135
2023/06/24,135
2023/06/25,135
2023/06/26,135
2023/06/27,135
2023/06/28,135
2023/06/29,135
2023/06/30,135
2023/07/01,135
2023/07/02,135
2023/07/03,135
2023/07/04,145
2023/07/05,145
2023/07/06,145
2023/07/07,145
2023/07/08,145
2023/07/09,145
2023/07/10,145
2023/07/11,145
2023/07/12,145
2023/07/13,145
2023/07/14,145
2023/07/15,145
2023/07/16,157
2023/07/17,157
2023/07/18,167
2023/07/19,167
2023/07/20,168
2023/07/21,168
2023/07/22,168
2023/07/23,168
2023/07/24,168
2023/07/25,168
2023/07/26,146
2023/07/27,146
2023/07/28,146
2023/07/29,146
2023/07/30,146
2023/07/31,146
2023/08/01,146
2023/08/02,146
2023/08/03,168
2023/08/04,168
2023/08/05,146
2023/08/06,146
2023/08/07,146
2023/08/08,146
2023/08/09,146
2023/08/10,168
2023/08/11,168
