Price at Date,Price in EUR
2023/06/08,41
2023/06/09,48
2023/06/10,46
2023/06/11,46
2023/06/12,39
2023/06/13,39
2023/06/14,39
2023/06/15,39
2023/06/16,39
2023/06/17,46
2023/06/18,46
2023/06/19,53
2023/06/20,53
2023/06/21,54
2023/06/22,54
2023/06/23,54
2023/06/24,55
2023/06/25,72
2023/06/26,72
2023/06/27,72
2023/06/28,63
2023/06/29,54
2023/06/30,54
2023/07/01,46
2023/07/02,46
2023/07/03,46
2023/07/04,39
2023/07/05,38
2023/07/06,34
2023/07/07,34
2023/07/08,34
2023/07/09,34
2023/07/10,41
2023/07/11,46
2023/07/12,46
2023/07/13,45
2023/07/14,45
2023/07/15,62
2023/07/16,63
2023/07/17,72
2023/07/18,63
2023/07/19,55
2023/07/20,46
2023/07/21,46
2023/07/22,46
2023/07/23,38
2023/07/24,34
2023/07/25,34
2023/07/26,34
2023/07/27,39
2023/07/28,40
2023/07/29,40
2023/07/30,42
2023/07/31,42
2023/08/01,40
2023/08/02,40
2023/08/03,49
2023/08/04,63
2023/08/05,72
2023/08/06,70
2023/08/07,70
2023/08/08,60
2023/08/09,52
2023/08/10,79
2023/08/11,74
