Price at Date,Price in EUR
2023/06/08,39
2023/06/09,39
2023/06/10,39
2023/06/11,39
2023/06/12,39
2023/06/13,39
2023/06/14,39
2023/06/15,29
2023/06/16,29
2023/06/17,29
2023/06/18,34
2023/06/19,34
2023/06/20,39
2023/06/21,49
2023/06/22,49
2023/06/23,49
2023/06/24,44
2023/06/25,49
2023/06/26,44
2023/06/27,44
2023/06/28,34
2023/06/29,34
2023/06/30,34
2023/07/01,44
2023/07/02,44
2023/07/03,44
2023/07/04,49
2023/07/05,49
2023/07/06,50
2023/07/07,63
2023/07/08,69
2023/07/09,69
2023/07/10,69
2023/07/11,69
2023/07/12,79
2023/07/13,89
2023/07/14,89
2023/07/15,99
2023/07/16,99
2023/07/17,99
2023/07/18,90
2023/07/19,58
2023/07/20,58
2023/07/21,58
2023/07/22,58
2023/07/23,79
2023/07/24,60
2023/07/25,49
2023/07/26,54
2023/07/27,44
2023/07/28,34
2023/07/29,39
2023/07/30,39
2023/07/31,39
2023/08/01,39
2023/08/02,39
2023/08/03,39
2023/08/04,44
2023/08/05,44
2023/08/06,49
2023/08/07,54
