Price at Date,Price in EUR
2023/06/08,115
2023/06/09,125
2023/06/10,125
2023/06/11,125
2023/06/12,125
2023/06/13,126
2023/06/14,120
2023/06/15,120
2023/06/16,127
2023/06/17,127
2023/06/18,130
2023/06/19,130
2023/06/20,110
2023/06/21,110
2023/06/22,110
2023/06/23,110
2023/06/24,131
2023/06/25,131
2023/06/26,131
2023/06/27,124
2023/06/28,124
2023/06/29,106
2023/06/30,102
2023/07/01,102
2023/07/02,108
2023/07/03,104
2023/07/04,126
2023/07/05,140
2023/07/06,158
2023/07/07,152
2023/07/08,151
2023/07/09,151
2023/07/10,159
2023/07/11,159
2023/07/12,136
2023/07/13,132
2023/07/14,126
2023/07/15,131
2023/07/16,137
2023/07/17,137
2023/07/18,153
2023/07/19,159
2023/07/20,140
2023/07/21,147
2023/07/22,149
2023/07/23,160
2023/07/24,121
2023/07/25,133
2023/07/26,125
2023/07/27,144
2023/07/28,161
2023/07/29,128
2023/07/30,129
2023/07/31,176
2023/08/01,131
2023/08/02,131
2023/08/03,181
2023/08/04,182
2023/08/05,186
2023/08/06,185
2023/08/07,210
