Price at Date,Price in EUR
2023/06/08,162
2023/06/09,162
2023/06/10,184
2023/06/11,184
2023/06/12,185
2023/06/13,173
2023/06/14,173
2023/06/15,173
2023/06/16,166
2023/06/17,149
2023/06/18,149
2023/06/19,149
2023/06/20,163
2023/06/21,163
2023/06/22,173
2023/06/23,170
2023/06/24,170
2023/06/25,170
2023/06/26,193
2023/06/27,193
2023/06/28,193
2023/06/29,175
2023/06/30,172
2023/07/01,182
2023/07/02,182
2023/07/03,182
2023/07/04,182
2023/07/05,189
2023/07/06,211
2023/07/07,216
2023/07/08,216
2023/07/09,221
2023/07/10,200
2023/07/11,195
2023/07/12,195
2023/07/13,214
2023/07/14,140
2023/07/15,140
2023/07/16,160
2023/07/17,139
2023/07/18,139
2023/07/19,159
2023/07/20,174
2023/07/21,194
2023/07/22,194
2023/07/23,224
2023/07/24,224
2023/07/25,207
2023/07/26,206
2023/07/27,194
2023/07/28,222
2023/07/29,212
2023/07/30,242
2023/07/31,215
2023/08/01,176
2023/08/02,215
2023/08/03,215
2023/08/04,227
2023/08/05,227
2023/08/06,227
2023/08/07,227
2023/08/08,227
2023/08/09,159
2023/08/10,207
2023/08/11,351
