Price at Date,Price in EUR
2023/06/08,168
2023/06/09,159
2023/06/10,144
2023/06/11,144
2023/06/12,159
2023/06/13,159
2023/06/14,159
2023/06/15,159
2023/06/16,159
2023/06/17,129
2023/06/18,144
2023/06/19,144
2023/06/20,144
2023/06/21,144
2023/06/22,123
2023/06/23,159
2023/06/24,144
2023/06/25,159
2023/06/26,159
2023/06/27,129
2023/06/28,144
2023/06/29,120
2023/06/30,159
2023/07/01,159
2023/07/02,159
2023/07/03,174
2023/07/04,174
2023/07/05,160
2023/07/06,174
2023/07/07,172
2023/07/08,172
2023/07/09,174
2023/07/10,174
2023/07/11,185
2023/07/12,185
2023/07/13,189
2023/07/14,189
2023/07/15,189
2023/07/16,185
2023/07/17,185
2023/07/18,190
2023/07/19,190
2023/07/20,160
2023/07/21,175
2023/07/22,175
2023/07/23,175
2023/07/24,175
2023/07/25,169
2023/07/26,172
2023/07/27,172
2023/07/28,177
2023/07/29,191
2023/07/30,181
2023/07/31,190
2023/08/01,190
2023/08/02,199
2023/08/03,156
2023/08/04,156
2023/08/05,162
2023/08/06,162
2023/08/07,162
2023/08/08,175
2023/08/09,185
2023/08/10,194
2023/08/11,236
